変数情報
変数	位置	ラベル
PanelID	1	<なし>
sex	2	問1(1)_性別
ybirth	3	問1(2)_生年
mbirth	4	問1(2)_生月
LQSURVEY	5	w13回答
LQBLOCK	6	w13地域
LQSIZE	7	w13対象者居住地・都市規模
LQ02	8	w13問2_就業状況
LQ02_1	9	w13問2付問1_通学か家事か
LQ02_2	10	w13問2付問2_収入になる仕事をしたいか
LQ02_3	11	w13問2付問3_いままでに仕事に就いたことはあるか
LQ03_1	12	w13問3(1)_現職・働き方
LQ03_2	13	w13問3(2)_現職・職業―大分類(プリコード)
lq03_2c	14	w13問3(2)_現職・職業_小分類（07版）
lq03_2l	15	w13問3(2)_現職・職業_大分類（アフターコード）
LQ03_3	16	w13問3(3)_現職・役職
LQ03_41	17	w13問3(4)_現職・従事時間（1日あたり）
LQ03_4M	18	w13問3(4)_現職・従事日数（月あたり）
LQ03_5A	19	w13問3(5)_現職・収入の形態―時給
LQ03_5AS	20	w13問3(5)_現職・収入の金額―時給
LQ03_5B	21	w13問3(5)_現職・収入の形態―日給
LQ03_5BS	22	w13問3(5)_現職・収入の金額―日給
LQ03_5C	23	w13問3(5)_現職・収入の形態―週給
LQ03_5CS	24	w13問3(5)_現職・収入の金額―週給
LQ03_5D	25	w13問3(5)_現職・収入の形態―月給
LQ03_5DS	26	w13問3(5)_現職・収入の金額―月給
LQ03_5E	27	w13問3(5)_現職・収入の形態―年俸
LQ03_5ES	28	w13問3(5)_現職・収入の金額―年俸
LQ03_5F	29	w13問3(5)_現職・収入の形態―その他
lq03_6c	30	w13問3(6)_現職・産業（SSM産業コード）
LQ03_7	31	w13問3(7)_現職・企業規模
LQ03_8	32	w13問3(8)_通勤時間
LQ03_9A	33	w13問3(9)_労働形態―始業・就業時間が一定
LQ03_9B	34	w13問3(9)_労働形態―始業・就業時間が日によって違う
LQ03_9C	35	w13問3(9)_労働形態―裁量労働
LQ03_9D	36	w13問3(9)_労働形態―夜勤・当直・宿直
LQ03_9E	37	w13問3(9)_労働形態―突然の残業
LQ03_9F	38	w13問3(9)_労働形態―突然の休日出勤
LQ03_10	39	w13問3(10)_週あたりの所定労働時間
LQ03_11A	40	w13問3(11)_土曜日の仕事の頻度
LQ03_11B	41	w13問3(11)_日曜日の仕事の頻度
LQ03_12	42	w13問3(12)_労働時間希望
LQ03_13	43	w13問3(13)_労働組合が組織されているか
LQ03_14	44	w13問3(14)_労働組合に加入しているか
LQ03_15	45	w13問3(15)_現在の会社で当面仕事を続けるか
LQ03_16	46	w13問3(16)_雇用契約期間
LQ03_16S	47	w13問3(16)_雇用契約の更新
LQ03_17	48	w13問3(17)_勤続年数
LQ04_1A	49	w13問4(1)_自分の仕事のペースを自分で決められる
LQ04_1B	50	w13問4(1)_職場の仕事のやり方を自分で決められる
LQ04_1C	51	w13問4(1)_部下の仕事のやり方を自分が決めている
LQ04_1D	52	w13問4(1)_教育訓練を受ける機会がある
LQ04_1E	53	w13問4(1)_職業能力を高める機会がある
LQ04_1F	54	w13問4(1)_自分の生活の必要にあわせて仕事を調整しやすい
LQ04_1G	55	w13問4(1)_今後1年間に失業（倒産）をする可能性がある
