Length,Width,Time
6,1.5,1.26
6,1.5,1.34
6,1.5,1.56
6,1.5,1.66
6,1.5,1.61
6,2.5,1.06
6,2.5,1.48
6,2.5,1.39
6,2.5,1.36
6,2.5,1.38
6,3,1.49
6,3,1.64
6,3,1.69
6,3,1.58
6,3,1.84
8,1.5,0.98
8,1.5,1.59
8,1.5,1.21
8,1.5,1.16
8,1.5,1.48
8,2.5,1.36
8,2.5,1.61
8,2.5,1.53
8,2.5,1.66
8,2.5,1.63
8,3,1.69
8,3,1.84
8,3,1.84
8,3,1.73
8,3,1.64
10,1.5,1.14
10,1.5,1.16
10,1.5,1.43
10,1.5,1.34
10,1.5,1.31
10,2.5,1.31
10,2.5,1.36
10,2.5,1.53
10,2.5,1.53
10,2.5,1.24
10,3,1.56
10,3,1.38
10,3,1.48
10,3,1.29
10,3,1.48
6,2,1.75
6,2,1.82
6,2,1.85
6,2,1.78
6,2,1.82
8,2,1.85
8,2,1.46
8,2,1.87
8,2,1.70
8,2,2.14
10,2,1.57
10,2,1.64
10,2,1.62
10,2,1.50
10,2,1.46
